Degrees,Radians
-180,-3.14159265358979
-170,-2.96705972839036
-160,-2.79252680319093
-150,-2.61799387799149
-140,-2.44346095279206
-130,-2.26892802759263
-120,-2.0943951023932
-110,-1.91986217719376
-100,-1.74532925199433
-90,-1.5707963267949
-80,-1.39626340159546
-70,-1.22173047639603
-60,-1.0471975511966
-50,-0.872664625997165
-40,-0.698131700797732
-30,-0.523598775598299
-20,-0.349065850398866
-10,-0.174532925199433
0,0
10,0.174532925199433
20,0.349065850398866
30,0.523598775598299
40,0.698131700797732
50,0.872664625997165
60,1.0471975511966
70,1.22173047639603
80,1.39626340159546
90,1.5707963267949
100,1.74532925199433
110,1.91986217719376
120,2.0943951023932
130,2.26892802759263
140,2.44346095279206
150,2.61799387799149
160,2.79252680319093
170,2.96705972839036
180,3.14159265358979